"S1","S2","SSE"
1.48498881111855e-06,1.000000743387,3.73064918969601e-11
1.46369291194802,3.95763072240094,0.551191226054992
2.39751053764359,8.56137583221306,5.07846445121986
3.04122521508286,15.5271811344538,5.61982138096243
3.51416937606512,24.7719824897147,4.82831256711663
3.84561364330933,36.1077110672901,5.69047735939044
4.07737032445922,49.5217897507423,8.10972763892441
4.25135212546863,65.0927227226013,23.6262092569481
4.40381795925831,82.9161000053021,53.9469454374537
4.51959298182462,102.730543649376,91.0737774575337
